Highest Charting Position,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
1,Beggin',"48,633,449",Måneskin,3377762,"['indie rock italiano', 'italian pop']",100,0.714,0.8,-4.808,0.0504,0.127,0.359,0.589
2,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022,['australian hip hop'],99,0.591,0.764,-5.484,0.0483,0.0383,0.103,0.478
1,good 4 u,"40,162,559",Olivia Rodrigo,6266514,['pop'],99,0.563,0.664,-5.044,0.154,0.335,0.0849,0.688
3,Bad Habits,"37,799,456",Ed Sheeran,83293380,"['pop', 'uk pop']",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,0.591
5,INDUSTRY BABY (feat. Jack Harlow),"33,948,454",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,0.894
1,MONTERO (Call Me By Your Name),"30,071,134",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",97,0.61,0.508,-6.682,0.152,0.297,0.384,0.758
3,Kiss Me More (feat. SZA),"29,356,736",Doja Cat,8640063,"['dance pop', 'pop']",94,0.762,0.701,-3.541,0.0286,0.235,0.123,0.742
2,Todo De Ti,"26,951,613",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']",95,0.78,0.718,-3.605,0.0506,0.31,0.0932,0.342
3,Yonaguni,"25,030,128",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']",96,0.644,0.648,-4.601,0.118,0.276,0.135,0.44
8,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762,"['indie rock italiano', 'italian pop']",95,0.75,0.608,-4.008,0.0387,0.00165,0.178,0.958
4,Levitating (feat. DaBaby),"23,518,010",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,0.915
9,Qué Más Pues?,"22,405,111","J Balvin, Maria Becerra",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",95,0.891,0.819,-3.964,0.106,0.0261,0.173,0.768
5,Permission to Dance,"22,062,812",BTS,37106176,"['k-pop', 'k-pop boy group']",95,0.702,0.741,-5.33,0.0427,0.00544,0.337,0.646
1,Peaches (feat. Daniel Caesar & Giveon),"20,294,457",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']",94,0.677,0.696,-6.181,0.119,0.321,0.42,0.464
2,Butter,"19,985,713",BTS,37106176,"['k-pop', 'k-pop boy group']",95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,0.695
7,traitor,"19,480,679",Olivia Rodrigo,6266514,['pop'],94,0.38,0.339,-7.885,0.0338,0.691,0.12,0.0849
3,deja vu,"18,571,755",Olivia Rodrigo,6266514,['pop'],93,0.442,0.612,-7.222,0.112,0.584,0.37,0.178
